key,0
#,Name
offset,0
int32,str
0,
1,基本操作
2,開始任務
3,目的列表
4,地圖嚮導
5,任務道具
6,場景物體
7,戰鬥
8,打倒敵人的經驗值與報酬
9,交納所需道具
10,職業轉換
11,領取報酬
12,接受任務
13,關於返回
14,快捷指令
15,乙太之光
16,無法戰鬥
17,通訊貝
18,關於裝備
19,都市傳送網
20,關於商店
21,關於收藏櫃
22,莫古力速遞
23,尋找良材
24,採集
25,採集方法
26,隱行
27,割草
28,製作筆記
29,製作
30,品質
31,裝備劣化
32,修理裝備
33,領取公會理符任務
34,公會理符任務
35,調節任務難度
36,休息區
37,兵裝庫
38,轉職
39,情感表現
40,
41,
42,執行理符任務
43,領取理符報酬
44,重新挑戰理符任務
45,討伐筆記
46,可愛的小寵物
47,關於市場
48,在市場裡搜索道具
49,在市場裡購買道具
50,在市場裡出售道具
51,關於僱員
52,招募僱員
53,僱員的作用
54,採集地點的特殊性質
55,關於未知的採集地點
56,
57,突破迷宮
58,關於製作狀態
59,
60,優質道具
61,珍稀道具
62,關於專用裝備與交易
63,搜索玩家資訊
64,臨危受命
65,關於連擊系統
66,危命任務的報酬與貢獻度
67,關於製作理符
68,理符的目標
69,關於採集理符
70,採集理符的完成條件
71,公會令
72,公會令情報
73,公會令的危險區域
74,在公會令中陷入無法戰鬥的情況
75,公會令的報酬
76,關於理符連接
77,
78,加入小隊
79,特殊戰鬥區域
80,重要任務
81,關於租借陸行鳥
82,租借陸行鳥的下鳥方法
83,關於運輸站
84,如何從運輸坐騎上下來
85,關於專屬陸行鳥
86,專屬陸行鳥的下鳥方法
87,加入大國防聯軍
88,職業任務的報酬
89,籌備軍需品與補給品
90,籌備稀有品
91,玩家部隊
92,極限技
93,等級同步
94,特職
95,給裝備染色
96,帶上陸行鳥一起戰鬥
97,生產魔晶石
98,用魔晶石來強化裝備
99,禁忌鑲嵌
100,鑲嵌魔晶石的方法
101,獨佔道具
102,使用道具
103,
104,補充隊員
105,探索礦脈
106,碎石
107,
108,搭檔的成長
109,給陸行鳥下達指令
110,開啟寶箱
111,討伐懸賞魔物
112,軍隊理符任務
113,部隊署名
114,參加玩家部隊
115,軍隊人事調動
116,部隊儲物櫃
117,隊徽
118,部隊特效
119,釣魚的準備
120,釣魚筆記
121,使用擬餌
122,以小釣大
123,沙與雲的特殊釣場
124,魚的大小
125,魚洞釣場
126,簡易製作
127,星極火與靈極冰
128,拳法身形
129,召喚獸
130,水晶衝突
131,任務戰場
132,成就
133,推薦任務功能
134,
135,揮竿釣魚
136,兵裝轉換獎勵
137,亞拉戈神典石
138,在指定地區使用任務道具
139,對目標使用任務道具
140,
141,玩家對戰與報酬
142,
143,關於房屋系統
144,房屋與門牌
145,關於團隊任務
146,每週取得報酬的限制
147,關於隊員招募功能
148,關於隱藏資源
149,關於陳舊的地圖
150,解讀陳舊的地圖
151,尋寶
152,友好部族的世界
153,友好關係
154,
155,
156,特殊熱鍵欄
157,美髮
158,隨機任務
159,投票驅除
160,最優隊員
161,入隊申請
