key,0
#,Description
offset,0
int32,str
2000000,
2000001,
2000002,
2000003,
2000004,
2000005,
2000006,
2000007,
2000008,
2000009,
2000010,
2000011,
2000012,
2000013,
2000014,
2000015,
2000016,
2000017,
2000018,
2000019,
2000020,
2000021,橡子樂園的少女奧妮莉非常喜歡的髮飾。
2000022,
2000023,
2000024,新人刻木匠忘記帶走的工具箱。
2000025,
2000026,
2000027,
2000028,園藝工所給的阿澤瑪玫瑰花。
2000029,塔塔索薩所給的小型金具。
2000030,
2000031,
2000032,
2000033,
2000034,
2000035,
2000036,
2000037,
2000038,一種特別製作的糖果，一閃一閃的好像火屬性水晶。
2000039,一種特別製作的糖果，一閃一閃的好像風屬性水晶。
2000040,一種特別製作的糖果，一閃一閃的好像土屬性水晶。
2000041,氣體生物爆彈怪的拇指。
2000042,南瓜製作的燈籠，據說是模仿傳說中的南瓜妖怪的外型製作的。
2000043,氣體生物爆彈怪的拇指。
2000044,一種手持煙花棒，能夠發出非常漂亮的火花。
2000045,一種特別製作的糖果，一閃一閃的好像火屬性水晶。
2000046,一種特別製作的糖果，一閃一閃的好像風屬性水晶。
2000047,一種特別製作的糖果，一閃一閃的好像土屬性水晶。
2000048,氣體生物爆彈怪的拇指。
2000049,南瓜製作的燈籠，據說是模仿傳說中的南瓜妖怪的外型製作的。
2000050,氣體生物爆彈怪的拇指。
2000051,一種手持煙花棒，能夠發出非常漂亮的火花。
2000052,一種特別製作的糖果，一閃一閃的好像火屬性水晶。
2000053,一種特別製作的糖果，一閃一閃的好像風屬性水晶。
2000054,一種特別製作的糖果，一閃一閃的好像土屬性水晶。
2000055,氣體生物爆彈怪的拇指。
2000056,南瓜製作的燈籠，據說是模仿傳說中的南瓜妖怪的外型製作的。
2000057,氣體生物爆彈怪的拇指。
2000058,一種手持煙花棒，能夠發出非常漂亮的火花。
2000059,
2000060,
2000061,加比諾老爹在他的小屋裡所給的藥水。
2000062,沙蚤的卵囊。
2000063,
2000064,
2000065,
2000066,
2000067,
2000068,
2000069,
2000070,
2000071,變色龍的蛋。
2000072,
2000073,
