key,0,2,8
#,Name,,Description
offset,0,4,8
int32,str,str,str
0,0,0,
1,渡渡鳥,0,原產自馬茲拉雅島的大型鳥類，因為過於肥胖而失去了飛行的能力。當初一部分盧恩人將渡渡鳥的蛋帶到了大陸上，後來一部分沒有被吃掉的蛋孵化成功，從此不會飛的渡渡鳥成功跨越了大洋走進大陸。渡渡鳥的胸肉特別美味，現在在艾歐澤亞的各大城邦都有飼養。不過家養並不意味著沒有危險，渡渡鳥口中的催眠分泌物特別強勁，在遭到攻擊時會吐向對方以求自保。
2,冬貝利,0,謎一般的生物，集體生活在第五星曆時代繁榮興盛的尼姆文明的遺跡裡。和人一樣穿著衣服，並且從它們能駕馭各種道具來看，想必擁有著較高的智能。在尼姆時代的石板上，有著「病魔搬運者」等不吉利的記載。
3,仙人刺,0,生活在乾燥地區且會移動的仙人掌。因能在體記憶體留水分來長期抵禦乾燥而被人廣泛知曉。為了能在殘酷的環境中生存下去，它們會積極採取自衛行動，從體內射出針刺來攻擊它們的敵人。
4,魔石精,0,出沒於石場和礦山的黑色魔物。它們一直小心翼翼地抱著一塊珍貴的石頭，所以也被採礦工們敬稱為「財寶守護者」。不過根據古籍«百石大鑒»中的記載，其實魔石精是被石頭支配了。於是後人根據這一點將其在物種上劃分到了咒具綱中。
5,軟糊怪,0,虛無界中滿是汙水的沼澤裡產生的異形魔物。它們能夠模仿人類的聲音吸引獵物，不過自身的智慧卻很低。根據妖異學者分出的「妖異十二階」來看，軟糊怪在其中也就排第十階級，屬於下級妖異。
6,爆彈怪,0,「妖異十二階」中排名第十一階級的火球狀氣體生物。它們只要一見到體內含有油脂的生物，無論是動物植物還是人類，就會為了讓油脂成為自身的燃料而無差別地發起攻擊。而其中一類溫度更高的爆彈怪被稱作「榴彈怪」，可排進「妖異十二階」的第十階級。
7,蔓德拉,0,第七靈災後突然出現的類似植物的生物。具體是從哪裡來的，至今未能解明。它們好像有著特殊的智能，可以不通過語言就相互進行交流，因還在研究途中，所以具體情況還不是很了解。
8,礦爬蟲,0,這種奇妙的魔物會四處爬行尋找能夠形成自己甲殼的礦物。關於這種魔物有兩種截然不同的解釋：格里達尼亞的學者認為這是一種為了自保而在背上植入礦石的動物；烏爾達哈的學者則認為這是一種為了增殖而寄生並控制動物行動的礦石。
9,魔界花,0,利用卷鬚爬行的大型食獸植物。為了引誘獵物同時也為了讓獵物昏厥，它們會從捕食器官放出強烈的香氣。捕食器官裡大量牙狀的棘不是為了將獵物咬碎，而是為了固定住獵物並將其完全消化。
10,長鬚豹,0,一種四足肉食獸，其兇猛的模樣讓人畏懼。它們的觸鬚十分靈活，捕獵時會用觸鬚放出電擊將獵物麻痺後進行捕食。原棲息地為近東地域。艾歐澤亞棲息的長鬚豹是那些用於戰鬥被引進而後回歸野性的長鬚豹。
11,冥鬼之眼,0,一種虛無界的魔物，通過依附動物的眼球出現在物質界。有著較強的魔力，可以通過划動空中的乙太讓自己浮在空中，擅長石化之術。在妖異學的階級分類中，大概能排到第四至第五階級的樣子，屬於中級妖異。
12,古菩猩猩,0,如小山一樣的巨型兩足獸。與頭部的苔蘚是共存關係，苔蘚會給予古菩猩猩偽裝，而在乾燥期的時候，古菩猩猩會用長長的手臂給頭部的苔蘚澆水保濕。平時移動很緩慢，在餓了的時候會用那大大的嘴將會動的東西全部吃掉。
13,陸行鳥,0,利用強壯的腿在大地上奔跑的陸生大型鳥。在艾歐澤亞，陸行鳥自古就用來馱物、拉車以及騎乘。已知庫爾札斯是陸行鳥的一大產地，除此之外，在阿巴拉提亞山脈的秘境「陸行鳥之森」裡也有著大量野生的陸行鳥。
14,蜥蜴人,0,生活在帕戈爾贊草原的游牧之民，平日趕趕羊和蜥蜴，是烏爾達哈的宿敵。從小就接受各種軍事訓練，無論男女老幼，全都是優秀的兵士。另外，蜥蜴人擅長火法冶金技術，他們製作的武具也很有價值。
15,鳥人,0,非常好戰的山岳之民，生活在暴風肆虐的大溪谷。殘留在他們手臂上的羽翼是曾在空中翱翔過的證明，也是他們的驕傲。他們希望奪回曾經居住過的黑衣森林，將林木獻給他們信仰的風神。因此與格里達尼亞之間的關係非常不好。
16,壞妖精,0,住在黑衣森林深處的幽谷之民，是一種非常小的獸人。外表非常可愛，像是裹著樹葉的人偶。他們之中雖然幻術高手有很多，可是卻經常會用幻術做一些非常過分的惡作劇，鬧得雞飛狗跳。如果旅行途中經過他們的棲息地，可一定要多加留意周圍的一切可疑事物。
17,地靈,0,一種被稱作地底之民的獸人，居住在威爾布蘭德島山岳地帶的坑道裡。他們將礦物獻給土神，並從土神的法則中孕育出了高度發達的煉金術。與利姆薩·羅敏薩簽訂了不可侵犯的條約，可誰在乎呢。
18,魚人,0,以蒼茫洋為根據地的水棲之民。他們在水中也能呼吸，且柔軟的四肢讓他們游起泳來非常優雅。魚人族是由一隻雌性魚人以女王的身份進行管理的，建立起像金字塔一樣的階級社會。與利姆薩·羅敏薩是敵對關係。
19,塔塔露·塔露,0,「哼哼～哼哼～哼。<hex:02100103>沙之小屋～開滿了～鮮花。」<hex:02100103>拂曉血盟接待員：塔塔露·塔露
20,莫古力,0,生活在黑衣森林中謎一般的種族。有著強大的魔力，平時會用魔法將自身隱藏起來生活。因此，沒有魔法素養的人想看見他們是極其困難的。眾所周知，莫古力們非常喜歡歌舞。
21,塞壬,0,一種海上的魔物，會用優美的歌聲迷惑船員，使船隻遇難。傳聞在很久以前，所有的塞壬都被大海盜霧鬚王討伐掉了，可是近幾年，卻又有了塞壬的目擊情報。據說塞壬會吸取遇難船上船員的陽氣，使他們變成一具行屍走肉。
22,奧爾特羅斯&提豐,0,咒術師公會進行妖異召喚實驗時召喚出來的謎一樣的生物。雖然看似是虛無界的妖異，可具體情況一概不明。奧爾特羅斯就職於鬥技場財團，而提豐就職於金碟遊樂場。
23,惡魔牆,0,一種古代魔法的產物，用血在牆面刻上花紋，為其注入生命，讓其成為建築物的守護者。在失去了主人之後，惡魔牆依舊忠誠地守護著遺跡，將貿然闖入的冒險者們送上悲慘的末路。
24,夢魔,0,藉助依附女性的身體而顯現於物質界的妖異。擁有著神秘而美麗的容姿。有時甚至會將依附主生前的思想繼續繼承下去。可排進「妖異十二階」的第三至第四階級，屬於上級妖異。
25,奇美拉,0,有著獅子、山羊以及龍頭的異形魔物。背上長著如蝙蝠一樣的翅膀，尾巴又與蠍子的尾巴極其相似，奇美拉擁有著多種魔獸的特徵。有人說它是諸神無聊所創造出來的，也有人說它是邪惡魔法師的研究成果……
26,藍龍,0,與塵世幻龍和幻龍之子的七大天龍相關聯的種族。它們擁有上千年的壽命，而在成長過程中也會有著各種不同的「進化」。所以就算是同一種族，個體之間也會有著極大的差異。
27,美男子布迦加,0,「啊、啊……啊、喔……激動、起來了！」<hex:02100103>傭兵：美男子布迦加
28,莫莫蒂·莫蒂,0,「……不過，暢談人生就免了。<hex:02100103>戀愛諮詢的話我或許可以幫你。嘻嘻。」<hex:02100103>流沙屋老闆娘：莫莫蒂·莫蒂
29,十指巴德龍,0,「就算是海豚也會溺水，想要成為一名合格的冒險者，就不要忘記自己的初衷。」<hex:02100103>沉溺海豚亭老闆：十指巴德龍
30,繆恩,0,「歡迎來到魔女咖啡館，喝點東西放鬆一下吧。」<hex:02100103>魔女咖啡館店主：繆恩
31,莉維亞·薩斯·尤尼烏斯,0,「你要是再磨蹭的話……我就殺了你。」<hex:02100103>第十四軍團軍政官：莉維亞·薩斯·尤尼烏斯
32,里塔提恩·薩斯·阿維納,0,「里塔提恩·薩斯·阿維納！<hex:02100103>願為蓋烏斯閣下出生入死！」<hex:02100103>第十四軍團陣營官：里塔提恩·薩斯·阿維納
33,比格斯&魏吉,0,「還不快道謝？！」<hex:02100103>「謝謝你救了我們！」<hex:02100103>加隆德煉鐵廠：比格斯&魏吉
34,蓋羅爾特·布拉克索恩,0,「嘖……聽好了，<hex:02100103>別看我現在在給酒館做破水壺，<hex:02100103>可我就算再怎麼墮落，都是個一流武器工匠。」<hex:02100103>流浪的武器工匠：蓋羅爾特·布拉克索恩
35,弗里克希奧,0,「那裡面太悶了，我差點就變成基薩爾野菜了呼啾！」<hex:02100103>暫留地的族長：弗里克希奧
36,繆塔米克斯,0,「呼哧……呼哧……<hex:02100103>人心 寄宿於物品中 化為魔晶石 放出光輝。」<hex:02100103>窯爐搬運者：繆塔米克斯
37,梅梅盧恩,0,「梅梅盧恩，最喜歡，閃閃金幣。<hex:02100103>梅梅盧恩，交易站，變更大！」<hex:02100103>梅梅盧恩交易站：梅梅盧恩
38,貝希摩斯,0,一種肌肉異常發達的肉食獸。自第七靈災後，在庫爾札斯山脈地區相繼發現了有關其的目擊情報，人們將它稱為蠻神巴哈姆特之子，並起名「貝希摩斯」。有關貝希摩斯的生存狀態尚有許多未解之迷，有待研究。
39,吉爾伽美什&恩奇都,0,「我是流浪的劍豪……吉爾伽美什！」<hex:02100103>吉爾伽美什&恩奇都
40,伊弗利特,0,蜥蜴人族召喚的火神。外表猙獰的伊弗利特可謂兇猛狂暴，其吐息如業火一般，其爪可融化鋼鐵，其角能燃燒天空。挑戰它的人必定會被「地獄之火炎」燃身燒心。
41,泰坦,0,地靈族召喚的土神。泰坦本身性格非常溫和，對待自己的信徒地靈族如子嗣般疼愛。不過戰鬥中的泰坦卻截然不同。那巨大如山的身軀加上「大地之怒」，能讓整個大地都搖晃起來。
42,迦樓羅,0,鳥人族召喚的風神。雖然其在空中飛舞的姿態非常優雅，可本質則嗜血成性，無比殘忍。信徒們畏懼地稱她為「無情女王」。性情變得狂躁後，會放出暴風「大氣爆發」。
