key,3,4,5
#,Text,,
offset,0,4,8
int32,str,str,str
0,,,
1,Start,,
2,Config,,
3,Demo,,
4,Credits,,
5,,,
6,要進行手把的按鍵設定嗎？<hex:02100103>※進入遊戲後可以在系統設定中隨時進行修改。,,
7,是,,
8,否,,
9,,,
10,Service Account,,
11,請選擇遊戲帳號。,,
12,Game Version : <hex:022903EA0203>(<hex:022903EA0303>)<hex:02081DE1E80401FF15> - ex<hex:022003E80403> : <hex:022903EA0503><hex:FF01><hex:03>,,
13,<hex:024804F201F403><hex:024904F201F503>注意<hex:0249020103><hex:0248020103> : 現在處於低解析度狀態(480p/i 576p/i)。<hex:02100103>本遊戲推薦使用高解析度(720p)進行遊戲。,,
14,,,
15,OK,,
16,CANCEL,,
17,請在右側的列表中選擇想要編輯的項目。<hex:02100103>???表示該項目仍未最後確定。,,
18,請在右側的列表中選擇想要編輯的項目。<hex:02100103>編輯之後點擊最下面的確認按鈕可以查看更改後的形象。,,
19,請在右側的列表中選擇想要編輯的項目。<hex:02100103>???表示該項目仍未最後確定。<hex:02100103>確定外貌之後將結束形象編輯。,,
20,刪除角色,,
21,要刪除<hex:022903EA0203>嗎？<hex:02100103>刪除角色後，該角色持有的道具、金幣、僱傭的僱員也將被刪除。<hex:02100103>如果該角色是部隊長，且部隊中沒有符合繼任部隊長條件的成員，則該部隊將被解散。<hex:02100103>屆時部隊所擁有的房屋、部隊儲物櫃中的道具等財產也將被刪除，請多加注意。,,
22,是的，我已經知曉注意事項，決定刪除該角色。,,
23,修改姓名,,
24,修改僱員姓名,,
25,要以<hex:022903EA0203>登入嗎？,,
26,以該角色登入遊戲需要修改姓名。請輸入新的名字。,,
27,<hex:020860E1E80201FF2B>請在獲取角色資訊後修改姓名。<hex:FF2E>以該角色登入遊戲需要修改姓名。<hex:03>,,
28,要將姓名改為「<hex:022903EA0203>」嗎？,,
29,要將僱員的姓名改為「<hex:022903EA0203>」嗎？,,
30,建立新角色,,
31,要結束角色建立嗎？<hex:02100103>當前正在處理的角色資訊都會消失。,,
32,以當前角色開始遊戲嗎？,,
33,要建立新角色嗎？,,
34,,,
35,<hex:022003E80203>/<hex:022003E80303>,,
36,LOCATION,,
37,<hex:02096FE802FF08>星1月<hex:FF08>靈1月<hex:FF08>星2月<hex:FF08>靈2月<hex:FF08>星3月<hex:FF08>靈3月<hex:FF08>星4月<hex:FF08>靈4月<hex:FF08>星5月<hex:FF08>靈5月<hex:FF08>星6月<hex:FF08>靈6月<hex:03> <hex:022003E80303>日,,
38,（<hex:022003E80203>月<hex:022003E80303>日）,,
39,,,
40,星1月,,
41,靈1月,,
42,星2月,,
43,靈2月,,
44,星3月,,
45,靈3月,,
46,星4月,,
47,靈4月,,
48,星5月,,
49,靈5月,,
50,星6月,,
51,靈6月,,
52,,,
53,<hex:0209BAE804FF04>1st<hex:FF04>2nd<hex:FF04>3rd<hex:FF04>4th<hex:FF04>5th<hex:FF04>6th<hex:FF04>7th<hex:FF04>8th<hex:FF04>9th<hex:FF05>10th<hex:FF05>11th<hex:FF05>12th<hex:FF05>13th<hex:FF05>14th<hex:FF05>15th<hex:FF05>16th<hex:FF05>17th<hex:FF05>18th<hex:FF05>19th<hex:FF05>20th<hex:FF05>21st<hex:FF05>22nd<hex:FF05>23rd<hex:FF05>24th<hex:FF05>25th<hex:FF05>26th<hex:FF05>27th<hex:FF05>28th<hex:FF05>29th<hex:FF05>30th<hex:FF05>31st<hex:FF05>32nd<hex:03> Sun of the <hex:020993E803FF0B>1st Astral<hex:FF0B>1st Umbral<hex:FF0B>2nd Astral<hex:FF0B>2nd Umbral<hex:FF0B>3rd Astral<hex:FF0B>3rd Umbral<hex:FF0B>4th Astral<hex:FF0B>4th Umbral<hex:FF0B>5th Astral<hex:FF0B>5th Umbral<hex:FF0B>6th Astral<hex:FF0B>6th Umbral<hex:03> Moon,,
54,<hex:02096FE802FF08>星1月<hex:FF08>靈1月<hex:FF08>星2月<hex:FF08>靈2月<hex:FF08>星3月<hex:FF08>靈3月<hex:FF08>星4月<hex:FF08>靈4月<hex:FF08>星5月<hex:FF08>靈5月<hex:FF08>星6月<hex:FF08>靈6月<hex:03> <hex:022003E80303>日,,
55,,,
56,<hex:022903EA0203><hex:020833E3E80308FF2B><hex:020927E803FF01><hex:FF09>(LEGACY)<hex:FF01><hex:FF09>(LEGACY)<hex:FF01><hex:FF09>(LEGACY)<hex:03><hex:FF01><hex:03>,,
57,正在獲取伺服器列表。,,
58,無法獲取伺服器列表。,,
59,將各個伺服器的情況更新到最新狀態。刷新後需要等待<hex:022003E80203>分鐘才能再次刷新。,,
60,該帳號的可建立角色數量已經達到上限。只有刪除已有角色才能繼續建立新角色。<hex:02100103>在角色名稱的次級指令中選擇刪除即可將角色資料刪除。,,
61,在各個伺服器中所開通的角色已經到達數量上限，無法繼續建立新角色。只有刪除任意伺服器的一名已有角色才能繼續建立新角色。<hex:02100103>在角色名稱的次級指令中選擇刪除即可將角色資料刪除。,,
62,該伺服器中建立的角色已經到達數量上限。,,
63,該伺服器中現在對新角色進行了限制。<hex:02100103>請等待限制解除後再開始建立，或到其他伺服器中建立新角色。,,
64,當前帳號無法使用該角色。,,
65,可以有一次機會修改角色的種族、性別、外貌及姓名。,,
66,<hex:020875E1E80201FF34>請在獲取角色情報後修改僱員的名字。<hex:FF3A>以該角色登入遊戲需要先修改僱員的名字。<hex:03>,,
67,可以修改角色的種族、性別、外貌等。<hex:02081EE1E80201FF16> (剩餘<hex:022003E80203>分鐘)<hex:FF01><hex:03>,,
68,無法登入，該角色處於«<hex:02280FFF0A>ExVersion<hex:E8020103>»的區域。,,
69,無法修改種族、性別及外貌，該角色處於«<hex:02280FFF0A>ExVersion<hex:E8020103>»的區域。,,
70,該角色為«最終幻想14»1.0版的繼承角色。使用該角色進入遊戲需要重新設定初始戰鬥職業。,,
71,確定,,
72,取消,,
73,初始戰鬥職業設定為「<hex:02280EFF09>ClassJob<hex:E8020103>」。<hex:02100103>遊戲開始時的城市為「<hex:02280AFF05>Town<hex:E8030103>」。,,
74,確定,,
75,取消,,
76,該角色為«最終幻想14»1.0版的繼承角色。使用該角色進入遊戲需要重新設定初始戰鬥職業，同時角色的種族、性別、外貌以及姓名也會有一次修改的機會。,,
77,現在進行編輯,,
78,以後進行編輯,,
79,重新編輯角色,,
80,使用已保存的形象建立新角色,,
81,保存角色形象,,
82,使用已保存的角色形象,,
83,為緩解登入壓力，暫時簡化角色情報顯示。<hex:02100103>如需編輯角色外貌或改名，<hex:02100103>可通過次級指令選擇「獲取角色情報」。,,
84,歡迎來到«最終幻想14»的世界。<hex:02100103>請建立一個新角色來開始您的冒險。,,
85,確定,,
86,歡迎來到«最終幻想14»的世界。<hex:02100103>請選擇已有角色或建立新角色來開始您的冒險。<hex:02100103>當前所選的伺服器<hex:022903EA0203>中已經建立了<hex:022003E80303>個角色。<hex:02100103>點擊右上的選擇按鈕可以切換世界伺服器。,,
87,確定,,
88,請選擇伺服器。,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,要以<hex:022903EA0203>登入嗎？<hex:02100103><hex:02100103><hex:024804F201FA03><hex:024904F201FB03>該角色正在其他伺服器遊玩。<hex:02100103>通過利姆薩·羅敏薩、格里達尼亞、烏爾達哈的乙太之光可以隨時返回原始伺服器。<hex:0249020103><hex:0248020103>,,
96,要以<hex:022903EA0203>登入嗎？<hex:02100103><hex:02100103><hex:024804F201FA03><hex:024904F201FB03>該角色正在非原始資料中心遊玩。<hex:02100103>想要返回原始伺服器時，<hex:02100103>可以在登入前角色名稱的次級指令中<hex:02100103>選擇「返回原始伺服器」。<hex:0249020103><hex:0248020103>,,
