key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_FESANV2023GUIDE_00828_NEWBORNINTERN_000_000,感謝過去，祝福現在，祈禱未來……<hex:02100103>懷著神聖的心情慶祝新生慶典吧！<hex:02100103>仰望夜空還能看到美麗的煙花哦。
1,TEXT_FESANV2023GUIDE_00828_Q1_000_001,想了解什麼？
2,TEXT_FESANV2023GUIDE_00828_A1_000_001,什麼是新生慶典
3,TEXT_FESANV2023GUIDE_00828_A1_000_002,什麼是留言樹
4,TEXT_FESANV2023GUIDE_00828_A1_000_003,取消
5,TEXT_FESANV2023GUIDE_00828_NEWBORNINTERN_000_010,所謂新生慶典，乃是表達緬懷與謝意的祭典。<hex:02100103>其主旨是悼念在第七靈災中的遇難者，<hex:02100103>並向靈災期間奮勇作戰的英雄們致謝。
6,TEXT_FESANV2023GUIDE_00828_NEWBORNINTERN_000_011,節日期間，大街上會放滿水晶點綴的莊嚴的裝飾物，<hex:02100103>夜晚還會燃放美麗的煙花。
7,TEXT_FESANV2023GUIDE_00828_NEWBORNINTERN_000_012,沉浸在這夢幻般的氣氛中，<hex:02100103>懷念過去，享受現在，為未來的幸福祈禱吧。
8,TEXT_FESANV2023GUIDE_00828_NEWBORNINTERN_000_013,活動在烏爾達哈舉行，<hex:02100103>如果有時間的話，請務必來參加！
9,TEXT_FESANV2023GUIDE_00828_NEWBORNINTERN_000_014,對那些在第七靈災之後已經離你而去或仍在你身邊的人，<hex:02100103>表達你的感謝、鼓勵、憐惜等情感。本企劃正在徵集此類匿名信件，<hex:02100103>準備裝飾出來，讓來參加新生慶典的賓客們自由閱覽。
10,TEXT_FESANV2023GUIDE_00828_NEWBORNINTERN_000_015,留言樹將會展示在來生迴廊的黃金廣場。<hex:02100103>如果有興趣的話，請你一定要前去參觀。<hex:02100103>和留言樹的管理員對話，即可閱讀留言樹上的信件。
