key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_FESHLW2023TRANSFORM_00834_TRANSFORMHLW2023_000_000,嘻嘻嘻……我是擅長變身奇術的普通小魔精。<hex:02100103>讓我來用我的拿手絕活，把你變成你想到的人吧！
1,TEXT_FESHLW2023TRANSFORM_00834_TRANSFORMHLW2023_000_001,想像一下在你至今為止的冒險旅途所遇到的人們中，<hex:02100103>給你留下強烈印象的人！
2,TEXT_FESHLW2023TRANSFORM_00834_TRANSFORMHLW2023_000_002,那麼，首先回憶一下你至今為止的冒險！<hex:02100103>嘻嘻嘻……你想到了什麼？
3,TEXT_FESHLW2023TRANSFORM_00834_Q1_000_000,如何作答？
4,TEXT_FESHLW2023TRANSFORM_00834_A1_000_001,重生之冒險
5,TEXT_FESHLW2023TRANSFORM_00834_A1_000_002,蒼穹之冒險
6,TEXT_FESHLW2023TRANSFORM_00834_TRANSFORMHLW2023_000_003,那麼，接下來請你想像在這段冒險中<hex:02100103>給你留下深刻印象的人！
7,TEXT_FESHLW2023TRANSFORM_00834_Q2_000_000,如何作答？
8,TEXT_FESHLW2023TRANSFORM_00834_A2_000_001,溫文爾雅，內心強大的女性角尊
9,TEXT_FESHLW2023TRANSFORM_00834_A2_000_002,信念堅定，充滿自信的魯加族女性
10,TEXT_FESHLW2023TRANSFORM_00834_A2_000_003,勇猛無匹，鬥志昂揚的人族男性
11,TEXT_FESHLW2023TRANSFORM_00834_A2_000_004,粉色頭髮，可愛高貴的拉拉菲爾族女性
12,TEXT_FESHLW2023TRANSFORM_00834_A2_000_005,擅長魔導技術，被部下仰慕的加雷馬男性
13,TEXT_FESHLW2023TRANSFORM_00834_A2_000_006,有強大野心，毫無破綻的加雷馬男性
14,TEXT_FESHLW2023TRANSFORM_00834_A2_000_007,擁有赤發紅瞳的貓魅族男性
15,TEXT_FESHLW2023TRANSFORM_00834_A2_100_008,擔任秘密組織盟主的人族女性
16,TEXT_FESHLW2023TRANSFORM_00834_A2_100_009,行省出身卻爬到了陣營官之職的魯加族男性
17,TEXT_FESHLW2023TRANSFORM_00834_A2_100_010,充滿魅力的貓魅族女明星
18,TEXT_FESHLW2023TRANSFORM_00834_A2_100_011,勇敢無畏又英俊的男性人族紳士
19,TEXT_FESHLW2023TRANSFORM_00834_A2_100_012,紳士調查員的貓魅族女助手
20,TEXT_FESHLW2023TRANSFORM_00834_A2_100_013,達成重生之壯舉的人族男性
21,TEXT_FESHLW2023TRANSFORM_00834_A2_100_014,掌管秘密組織財務的拉拉菲爾族女性
22,TEXT_FESHLW2023TRANSFORM_00834_A2_100_015,被喚做艾歐澤亞最強雕金匠的人族男性
23,TEXT_FESHLW2023TRANSFORM_00834_A2_000_009,黑髮藍瞳，眼中宿有強大意志的精靈族男性
24,TEXT_FESHLW2023TRANSFORM_00834_A2_000_010,有強烈正義感的威風凜凜的半精靈族女性
25,TEXT_FESHLW2023TRANSFORM_00834_A2_000_011,身披黃色帶耳長袍的拉拉菲爾族女性
26,TEXT_FESHLW2023TRANSFORM_00834_A2_000_012,以傲人槍法而聞名的孤高精靈族男性
27,TEXT_FESHLW2023TRANSFORM_00834_A2_000_013,統領空賊，熱愛自由的人族男性
28,TEXT_FESHLW2023TRANSFORM_00834_A2_000_014,擅長社交，喜好傳聞的高貴精靈族男性
29,TEXT_FESHLW2023TRANSFORM_00834_A2_000_015,與蒼穹相襯的人族男性
30,TEXT_FESHLW2023TRANSFORM_00834_A2_000_025,取消
31,TEXT_FESHLW2023TRANSFORM_00834_TRANSFORMHLW2023_000_004,嘻嘻嘻……我看到了，我看到了哦！<hex:02100103>那麼就讓你見識一下我特別的奇術吧！
32,TEXT_FESHLW2023TRANSFORM_00834_SYSTEM_000_005,想要解除變身狀態時，<hex:02100103>可以使用專用技能「解除變身」來恢復原貌。
33,TEXT_FESHLW2023TRANSFORM_00834_TRANSFORMHLW2023_000_010,哎呀？你真的是被邀請到舞會的客人麼？<hex:02100103>非常抱歉，<hex:02100103>我的變身奇術只能展露給正式被邀請的客人哦。
